,order_products_value,order_freight_value,product_description_lenght,product_photos_qty,review_score,review_comment_message,delta_days,Classificacao,pos_prob,neg_prob,neu_prob
74481,89.0,28.99,303,6,5,baratheon 10 supre recomendo muito rápido a entrega,13.0,1,0.9998352305248197,0.00010341791598273301,6.135155919902697e-05
48265,159.9,23.84,2598,4,5,otimo,7.0,1,0.9757947021470661,0.013681859873256118,0.010523437979677372
15102,229.98,31.82,901,1,5,chegou muito bem embalado e dentro do prazo,13.0,1,0.9999730606027036,2.3995367593137437e-06,2.4539860535693437e-05
2827,417.0,88.5,2188,2,5,chegou bem antes ainda não testei,4.0,1,0.9949167150045848,0.0009455667555264721,0.004137718239889913
25026,198.0,17.15,865,2,5,produto excelente encaixe perfeito no banco material de ótima qualidade recomendo,17.0,1,0.9999918946293821,9.301421986970758e-08,8.012356396336802e-06
34536,134.9,26.22,556,3,5,o produto me foi entregue antes do prazo previsto e em perfeitas condições estou muito satisfeito,17.0,1,0.9999999426147229,9.092720704483376e-09,4.8292557107916526e-08
14933,89.9,19.82,222,3,5,superou a expectativa,7.0,1,0.9902796242557503,0.003456558280529526,0.00626381746372049
82272,59.9,17.67,341,2,5,lindo entrega rapida,10.0,1,0.9984119060876786,4.095664526868756e-05,0.0015471372670533543
92311,89.99,9.44,492,3,5,produto novo de excelente qualidade chegou tudo certinho dentro do prazo,5.0,1,0.9999990259297232,8.575812410432412e-09,9.654944672834124e-07
49767,1350.0,135.31,422,3,5,tudo conforme o previsto,14.0,1,0.9984480157410637,0.0005077593564802994,0.0010442249024545124
23957,109.9,11.97,3189,6,5,a bolsa térmica além de linda é super espaçosa produto de acordo com o anunciado e a entrega super rápida entregou bem antes do prazo,1.0,1,0.9999999999581348,2.6979170529127083e-12,3.9166748348555e-11
38548,18.9,16.79,318,1,5,muinto bom,16.0,1,0.9648878808196512,0.005983981677883273,0.029128137502465175
59944,99.9,36.9,213,2,1,comprei e não recebi a encomenda e o pior não estou sendo informada do porquê de não ter recebido o produto ainda péssimo atendimento não comprarei jamais,6.0,-1,2.3378866219183543e-08,0.9999968491421684,3.1274789637207244e-06
38146,68.9,14.79,501,3,5,sempre compro pelo o site e sempre vem perfeito,8.0,1,0.9991789410682843,0.00048751698641427547,0.0003335419453027712
97227,51.9,15.45,324,1,3,bom,11.0,0,0.9233330201320997,0.026104577347292088,0.050562402520607994
51551,56.99,12.74,500,1,4,no anuncio parecia ser mais sofisticado mas atende as expectativas,7.0,1,0.9749557477278565,0.0016234322108475336,0.023420820061290253
24285,209.0,0.0,782,1,5,otimo a entrega muito rápido,14.0,1,0.9997687688917717,6.0080415068886367e-05,0.00017115069315885362
1371,175.9,17.48,1382,4,5,super indico para quem tem enxaqueca e olheiras como eu,12.0,1,0.9854822734883022,0.005697843709917271,0.008819882801777182
59695,19.9,7.78,869,6,5,fui atendido dentro de minhas expectativas prazo valor e produto além de poder voltar a comprar recomento também,10.0,1,0.9999768371136409,2.0615686843517152e-05,2.5471995105576827e-06
84869,127.0,17.39,82,1,2,recebi somente um clamp esta faltando extensor de prato e mais um clamp,8.0,-1,9.518555803127243e-06,0.9971214916269464,0.0028689898172479414
96727,164.0,15.9,220,3,4,entrega no prazo,9.0,1,0.9751800268998994,0.014552362201501483,0.010267610898599537
93020,139.8,39.96,903,6,1,só chegou 1 unidade são duas,11.0,-1,0.08146314041979548,0.7304280807853234,0.1881087787948805
6429,72.0,17.75,757,1,5,os potes são lindos a entrega foi rápida vieram muito bem embalados,17.0,1,0.9991259463014089,1.080149801807665e-06,0.0008729735487902514
20043,59.9,27.0,268,1,4,site super confiável,20.0,1,0.9962533719502543,0.0028279513782983228,0.0009186766714467559
18143,139.9,34.52,1048,5,5,recomendo a loja ótimo produto dentro do prazo se entrega,11.0,1,0.9999827147180588,1.7930351396958144e-06,1.5492246800691696e-05
98211,69.9,20.06,903,6,1,o produto chegou danificado provavelmente pela falta de critério na embalagem veio todo riscado parecendo velho,12.0,-1,0.00022809326598208655,0.9433472145303408,0.05642469220367626
27637,189.0,26.6,1233,4,4,rapidez e eficiencia,15.0,1,0.9835284154438525,0.0019968902632477373,0.014474694292900396
84736,69.99,22.55,1305,1,3,excelente,14.0,0,0.9878043024013081,0.0037143256345427782,0.00848137196414922
28193,109.9,21.26,385,1,5,entrega muito rápida chegou bem antes do prazo super recomendo,10.0,1,0.9999999855535435,5.300102009003867e-10,1.391644497240754e-08
83818,109.0,18.01,1223,1,5,lindo amei perfeito,6.0,1,0.9999443262430869,7.351160574987295e-07,5.493864085688819e-05
8924,55.9,9.6,2146,1,1,produto diferente ao da foto anunciada sem nenhum registro endereço ou certificação,9.0,-1,0.0009638764094206244,0.9782204545925418,0.02081566899804051
62481,169.9,20.07,856,1,5,como na foto lindo,9.0,1,0.9612009075341994,0.012121026913649746,0.026678065552150982
54177,24.9,22.85,162,6,5,nota 10,8.0,1,0.8015893005968133,0.1727140968653246,0.025696602537861702
72973,594.0,41.19,1289,1,5,agilidade na entrega,2.0,1,0.9747824484304414,0.017753554886814373,0.007463996682742697
95510,139.8,0.0,903,6,1,produto veio faltando peças solicito outro com urgência pois já realizei o pagamento gostaria do contato com urgência,6.0,-1,7.98867191479444e-09,0.9996391091664325,0.00036088284490110555
21104,24.9,14.81,58,1,1,até agora só foi entregue as fronhas mas a vitamina ainda não,5.0,-1,0.005566721187307257,0.9854317056718414,0.009001573140853487
88881,99.0,18.82,580,4,2,o produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios lógico a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não ainda não testei,10.0,-1,0.00012116785539503181,0.8595628442088357,0.14031598793577216
53038,110.0,21.41,2482,1,5,muito bom mesmo chegou bem antes do prazo parabéns continuem assim nota 10,4.0,1,0.9999999685363297,1.1315667960834479e-10,3.135051520926509e-08
13390,49.9,18.0,339,1,1,esta loja baratheon demora muito pra fazer a entrega,23.0,-1,0.6502835392751201,0.3316583282160212,0.01805813250886126
5983,29.9,16.11,186,2,5,ótimo produto,26.0,1,0.9863594502580882,0.0037614245290064565,0.009879125212905572
92922,349.9,37.77,625,1,2,difícil diálogo com vendedor,41.0,-1,0.4996645505255178,0.3732668235907125,0.12706862588376838
187,177.0,18.08,803,1,5,produto chegou rápido recomendo,9.0,1,0.9987696368795479,0.0008170355582402102,0.0004133275622103518
78777,28.9,15.79,540,5,5,muito bom chegou antes do prazo,7.0,1,0.9999474788875075,4.582123055619258e-06,4.793898943725899e-05
20847,168.49,19.87,630,1,5,muito bom me deram um pra de entrega de 17 a 19 dias úteis com prazo máximo de entrega até 13 07 com tudo recebi o produto em muito menos tempo parabéns recomendo,15.0,1,0.9999895629421578,1.0324650676064242e-05,1.1240717064555018e-07
52850,289.9,19.91,1061,2,5,obrigada,8.0,1,0.9376086997802495,0.0354691071259854,0.026922193093765614
99397,44.99,19.32,233,1,5,produto de qualidade e entrega rápida,7.0,1,0.9974348188582628,0.0011371727440200132,0.001428008397717756
58765,29.99,15.79,216,2,5,ok,3.0,1,0.9122295087994631,0.029638784340783823,0.058131706859752975
83670,40.4,8.27,321,2,5,loja muito boa,4.0,1,0.9830825811539392,0.008509117276028298,0.008408301570033172
60391,29.9,15.1,1386,1,2,deveriam não ser tão demorado na entrega do produto e deveriam colocar numa caixinha mais bonitinha por ser folhado a ouro valorizava mais o produto de vcs mas não indicaria não,7.0,-1,0.001357072297709363,0.0785718574759339,0.920071070226361
48356,915.98,35.92,1972,5,5,melhor atendimento que já tive em todos os aspectos,8.0,1,0.9607785120946264,0.030752242334887374,0.008469245570486087
31514,99.99,15.91,1024,1,5,sempre recomendo,21.0,1,0.9870919299540124,0.009377527647996209,0.0035305423979919413
51708,690.0,20.59,1048,4,5,estou satisfeito com o serviço prestado,24.0,1,0.9951792874993732,0.002314579596393351,0.002506132904232873
24992,29.8,33.58,1440,2,1,pedi dois kits proteção para j5 prime e só chegou um porém no site diz que já foi entregue espero resolução,10.0,-1,9.682960109071132e-07,0.9995360284731095,0.0004630032308788155
41833,7160.0,114.88,1016,2,1,comprei 04 unidades e foram entregues apenas 02 pacotes com 01 unidade cada ainda não sei se serão entregues as outras 02 unidades faltantes de qualquer forma a entrega deve ser de uma única vez,9.0,-1,1.0599056508094578e-12,0.9999446983057615,5.530169318702186e-05
96303,45.9,15.56,438,1,5,otima loja ótimo produto,9.0,1,0.9996378953317729,4.196453185559654e-05,0.0003201401363730639
59225,139.98,18.75,1292,1,5,ainda nao chegou a cadeira esta marcado pra chegar dia 5 9 ate agora nada,25.0,1,0.0007759257323564476,0.9979790525155406,0.0012450217521012771
52572,27.9,9.69,375,6,5,excelente,3.0,1,0.9878043024013081,0.0037143256345427782,0.00848137196414922
93427,110.8,11.4,806,3,5,loja eficiente,5.0,1,0.9718676388345894,0.017394127579026385,0.010738233586384378
68942,48.0,16.58,1226,2,1,produto não compativel comforme a descrição att fabricio costa,3.0,-1,0.0067253538890185635,0.8163484260871571,0.1769262200238177
89392,59.7,13.08,1011,1,5,foi entregue super rapido,4.0,1,0.9987932964609281,0.0006775570792267558,0.0005291464598467711
44440,88.0,20.05,888,1,1,já paguei pelos 2 cartuchos de tinta e recebi apenas 1 cartucho constante na nf e 000000995 falta me enviar o cartucho de tinta preto referente ao pedido 03 499348246 de 10 04 2018,8.0,-1,3.275109012518456e-15,0.9999998414766776,1.5852332401324752e-07
85228,120.0,10.26,1014,4,2,continue assim,9.0,-1,0.9288468475728019,0.03469997980930885,0.036453172617890155
59998,49.9,7.78,617,4,5,o produto chegou bem antes do prazo bem embalado e em perfeito estado meu filho amou,4.0,1,0.9999999993285655,1.009447819407749e-11,6.613433496037513e-10
51457,75.0,8.27,673,1,5,produto entregue antes do prazo final,5.0,1,0.9997192207319483,0.00016471678458693757,0.00011606248346509864
49217,129.99,12.11,797,2,5,muito bom o produto e a loja,8.0,1,0.9947425985679508,0.0018271659230464504,0.0034302355090029516
73793,69.99,12.83,327,3,5,produto de boa qualidade chega no prazo,26.0,1,0.9968080341815542,0.0017904593588850355,0.0014015064595624157
95772,274.0,113.67,92,3,5,atendeu minhas expectativa,16.0,1,0.9955821026735974,0.0008537608748750476,0.0035641364515287817
32493,360.0,0.06,757,1,4,recebi somente 1 dos 3 produtos adquiridos e consta no site que a entrega está finalizada não consegui ainda contato com a loja,4.0,1,0.00031795335940111314,0.9987900081679837,0.0008920384726186208
7883,269.0,10.7,498,1,2,produto chegou sem nota fiscal ainda não instalei portanto ainda não posso dizer se está em condições de uso,7.0,-1,0.2184200590604859,0.7380174730889435,0.043562467850569574
4166,99.9,26.96,447,3,5,otima compra,26.0,1,0.9885528967943905,0.006243800035083874,0.005203303170524701
41928,99.99,12.83,1255,5,5,faria negócio novamente produto chegou antes do prazo,17.0,1,0.9998900724992561,5.093706850949956e-05,5.899043223458437e-05
74511,49.9,13.93,928,1,4,entrega rapida papel de parede lindo estampa maravilhosa otima qualidade,5.0,1,0.9999820950560944,4.9459373783542755e-08,1.7855484534084226e-05
87864,205.0,14.45,2392,1,5,o produto chegou antes da data prevista super recomendo,6.0,1,0.9999960893930374,3.1945581917998616e-06,7.160487704518969e-07
19367,179.9,108.92,1128,1,5,produto de ótima qualidade e de fácil montagem,29.0,1,0.9985483246113773,0.00023459923857823802,0.0012170761500426195
7647,19.99,16.11,265,2,2,otimo,7.0,-1,0.9757947021470661,0.013681859873256118,0.010523437979677372
10121,120.9,49.38,707,5,5,produto bom responsavel pela entrega até antes do prazo,3.0,1,0.9999497319663675,1.5196284466184669e-05,3.507174916974663e-05
1355,99.0,16.32,507,1,5,obrigada,6.0,1,0.9376086997802495,0.0354691071259854,0.026922193093765614
67167,230.0,73.38,770,1,3,favor procurar utra transportadora correios sem qualidade,15.0,0,0.09299151582077239,0.5854736096602626,0.32153487451896506
84455,259.99,10.01,619,1,5,chegou muito antes do prazo de entrega recomendo a todos,1.0,1,0.9999980939123365,7.511868138831925e-07,1.1549008466041302e-06
47503,59.9,11.73,799,1,5,chegou muito rapido e bem antes do prazo o produto tem o cabo muito fragil parese que vai quebrar guando voce começa a passa na casa ea parte de cima dele noa encaixa direito mas fora isso gostei,3.0,1,0.9721590183214576,8.368709738180833e-06,0.027832612968813106
63144,13.99,7.78,964,1,5,ótimo,7.0,1,0.9759485881083321,0.005653692119720499,0.018397719771947305
38927,119.98,17.76,614,1,4,veio com a voltagem 220 sendo que pedi 110,21.0,1,0.007736941920987877,0.9417521007506996,0.05051095732831403
49169,249.9,16.57,535,2,5,adorei o produto e o melhor foi entregue antes mesmo da data prevista,8.0,1,0.9999925416946764,4.821701720128408e-06,2.6366036037132605e-06
82894,449.0,34.58,389,1,5,entregue no prazo produto bem embalado protegido,22.0,1,0.9998832438420736,2.914271706047752e-05,8.761344086659044e-05
21684,65.98,32.22,829,1,1,comprei 02 unidades desta luminária e foi entregue somente 01 até o momento mais o statos da entrega fala que ja foi entregue está e minha primeira postagem informando o fato decepção total,15.0,-1,2.616724404125695e-10,0.9999987041636171,1.295574712151038e-06
50807,27.9,19.39,350,3,3,o eva tem um cheiro muito forte como o de algum solvente mas o material é de boa qualidade,7.0,0,0.2304826299963499,0.013413456926282447,0.7561039130773641
91075,84.99,25.87,1071,1,5,muito bom o kit super recomendo,16.0,1,0.9996391019415387,0.00015711557976556066,0.00020378247869682156
88911,326.16,33.03,1131,3,4,ainda não utilizei o produto mas em chegou em tempo em condições aequadas de embalagem,9.0,1,0.9878682010511052,0.006084158843824673,0.0060476401050710326
6003,59.8,25.38,364,1,5,as crianças adoraram,9.0,1,0.9110167567302502,0.060075410251085544,0.028907833018663488
75834,174.9,30.26,289,1,5,cortina ficou super linda no meu quarto e ainda quebra qualquer luz amei essa parte,39.0,1,0.9998689621976427,6.108384408967272e-05,6.99539582672437e-05
73474,159.0,18.39,618,5,5,super recomendo,13.0,1,0.9965024223375608,0.0026117939297766986,0.0008857837326618993
40702,159.0,27.41,873,5,5,perfeito,12.0,1,0.9773136493381607,0.010755114190968258,0.011931236470870873
63830,59.9,11.81,191,1,5,entregue antes do prazo prometido muito bom parabéns,7.0,1,0.9999990062724001,2.1597732632732506e-08,9.72129868059282e-07
77754,17.5,16.79,125,1,2,uma da cor cáqui e a de rosas azul bom,20.0,-1,0.06791596463474645,0.6048369108007502,0.3272471245645006
25338,559.98,36.42,1131,3,1,boa noite fiz o pedido de dois brinquedos e só recebi um ate agora o que aconteceu com o outro tenho que esperar que chegar nunca tive problema em compara nesta loja aguardo uma posição,10.0,-1,4.876335437667277e-10,0.9999975539986182,2.4455137454411673e-06
77592,84.99,9.41,1495,3,5,adorei,4.0,1,0.9921811830873425,0.004958458505311974,0.0028603584073454667
55160,13.33,15.1,1148,1,5,entregue na data recomendo,10.0,1,0.9719237392473983,0.02543778082102614,0.0026384799315743324
56328,59.9,17.67,341,2,5,produto conforme anuncio muito bom e veio muito bem embalado chegou no prazo,13.0,1,0.9999977269320054,9.142196676508719e-08,2.1816460289026077e-06
49990,79.99,45.24,1294,1,5,chegou tudo certo,25.0,1,0.9930162481777494,0.002181062878984438,0.004802688943267056
81144,53.99,11.88,334,1,5,parabenizo a loja pela rápida entrega e a qualidade do produto,13.0,1,0.9999470417221139,1.467447189808472e-05,3.828380598692005e-05
75360,62.7,7.86,183,2,1,não recebi todos os produtos de 7 itens veio 3 e no status consta que foram todos entregues eu mesma recebi em casa e so veio 3 pacotes,4.0,-1,4.775321477846676e-06,0.9998973934485788,9.78312299421172e-05
16952,59.9,11.73,1634,6,4,bom,9.0,1,0.9233330201320997,0.026104577347292088,0.050562402520607994
43795,94.9,13.68,1110,6,2,super recomendo as lojas lannister mas produto deixou a desejar pois os pentes veio com defeito na hora da tosa tem q ficar apoiando o corte com o dedo pois os pente se desprende e cai,11.0,-1,0.00022296244830819452,0.816987816955574,0.18278922059612712
26325,22.9,1.4,493,2,5,produto chegou no prazo e bem embalado,6.0,1,0.9996188196502628,0.00013132916523849445,0.0002498511844977947
45194,59.9,11.73,785,1,3,o produto veio de acordo com o descrito no anúncio exceto pelas 4 presilhas que prendem no banco elas são muito fracas uma pinscher conseguiu como peso do corpo dela fazer a presilha abrir,2.0,0,1.760609025715305e-05,1.0277254702497025e-05,0.9999721166550399
69438,69.0,13.14,544,1,5,não gostei da embalagem achei que fosse a mesma do site,3.0,1,0.45774703891534435,0.1778594167557314,0.3643935443289219
42734,86.0,11.42,888,1,5,preço e prazo bem competitivos,8.0,1,0.9896985466731179,0.0007724189922805754,0.009529034334600017
13680,101.75,23.29,133,1,1,o produto não foi entregue na minha casa paguei pelo frete de entrega mas tive que ir aos correios buscar,15.0,-1,0.005647716908004207,0.9429847059155514,0.05136757717644958
30570,49.9,12.69,438,1,5,otimo,13.0,1,0.9757947021470661,0.013681859873256118,0.010523437979677372
